iso_code,continent,location,date,population,new_cases,new_deaths,total_cases,total_deaths,new_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_cases_per_million,new_deaths_per_million,new_vaccinations_per_million,new_cases_ra7,new_deaths_ra7,new_vaccinations_ra7,new_cases_per_million_ra7,new_deaths_per_million_ra7,new_vaccinations_per_million_ra7
ITA,Europe,Italy,2021-07-20,59037472.0,2070.0,7.0,4289528.0,127874.0,568140.0,36987932.0,27424712.0,,35.06247692990648,0.1185687625649011,9623.37953766042,2480.714285714286,12.285714285714286,558225.0,42.01931759060221,0.2081002771547244,9455.435354684563
ITA,Europe,Italy,2021-07-21,59037472.0,3555.0,10.0,4293083.0,127884.0,585154.0,37124317.0,27878692.0,,60.21599298831766,0.1693839465212873,9911.56938427174,2770.0,10.857142857142858,560650.0,46.919353186396606,0.1839025705088262,9496.510961715976
ITA,Europe,Italy,2021-07-22,59037472.0,4254.0,21.0,4297337.0,127905.0,607793.0,37271442.0,28343949.0,,72.05593085015565,0.3557062876947034,10295.03770080128,3070.1428571428573,10.571428571428571,559602.4285714285,52.00329135269981,0.1790630291796466,9478.766783432538
ITA,Europe,Italy,2021-07-23,59037472.0,5056.0,15.0,4302393.0,127920.0,588479.0,37434034.0,28774458.0,,85.64052336116289,0.254075919781931,9967.889546490069,3439.1428571428573,11.428571428571429,558387.4285714285,58.25355897933532,0.1935816531671855,9458.186633930203
ITA,Europe,Italy,2021-07-24,59037472.0,5142.0,17.0,4307535.0,127937.0,495649.0,37555306.0,29153408.0,,87.09722530124596,0.2879527090861885,8395.498370932955,3760.142857142857,12.285714285714286,552253.4285714285,63.69078366266864,0.2081002771547244,9354.286521134043
ITA,Europe,Italy,2021-07-25,59037472.0,5138.0,5.0,4312673.0,127942.0,363866.0,37639149.0,29436339.0,,87.02947172263744,0.0846919732606436,6163.305908491475,4048.714285714286,11.142857142857142,540613.0,68.57872040514007,0.1887421118380059,9157.116348071271
ITA,Europe,Italy,2021-07-26,59037472.0,4742.0,7.0,4317415.0,127949.0,565800.0,37787656.0,29858966.0,,80.32186744039447,0.1185687625649011,9583.743694174438,4279.571428571428,11.714285714285714,539268.7142857143,72.48906979911723,0.1984211944963652,9134.346306117484
ITA,Europe,Italy,2021-07-27,59037472.0,3115.0,22.0,4320530.0,127971.0,574103.0,37935961.0,30290972.0,,52.763099341381015,0.3726446823468322,9724.383184971064,4428.857142857143,13.857142857142858,540120.5714285715,75.01773014361358,0.2347177544652125,9148.775398590433
ITA,Europe,Italy,2021-07-28,59037472.0,4516.0,24.0,4325046.0,127995.0,539957.0,38101188.0,30672585.0,,76.49379024901337,0.4065214716510896,9146.004761179476,4566.142857142857,15.857142857142858,533663.8571428572,77.3431297522844,0.2685945437694699,9039.409023862963
ITA,Europe,Italy,2021-07-29,59037472.0,5693.0,15.0,4330739.0,128010.0,540520.0,38285646.0,31034540.0,,96.4302807545689,0.254075919781931,9155.541077368624,4771.714285714285,15.0,524053.4285714286,80.82517973862915,0.254075919781931,8876.623791944014
